filename,subset,source_model,stall_score
8MVo7fje_oE_125_130.mp4,real,MSVD,0.6452937367553567
WTf5EgVY5uU_124_128.mp4,real,MSVD,0.38671415116552865
6gQu8PWhFoQ_30_35.mp4,real,MSVD,0.42946491641158463
9Q0JfdP36kI_56_64.mp4,real,MSVD,0.2604044031080763
aeA-HN7BMdo_16_33.mp4,real,MSVD,0.27787261596421003
CcvJs77L-e8_15_22.mp4,real,MSVD,0.43452731339769246
bQJQGoJF7_k_120_126.mp4,real,MSVD,0.34964386625853544
R24RktgUi-s_5_15.mp4,real,MSVD,0.21949317165057688
m1NR0uNNs5Y_104_110.mp4,real,MSVD,0.38852425241346833
4yYapi-5QYQ_33_57.mp4,real,MSVD,0.5002354603249353
Je3V7U5Ctj4_760_765.mp4,real,MSVD,0.2989610313162232
s-QQWRdF-5Y_19_28.mp4,real,MSVD,0.04650341417471156
v5CeGLEnVFE_0_8.mp4,real,MSVD,0.154138215210737
8MVo7fje_oE_139_144.mp4,real,MSVD,0.7203614315987756
Qtu-PXuvCx4_12_17.mp4,real,MSVD,0.6619819872851425
gGDtPJzh_0s_30_45.mp4,real,MSVD,0.14763362373440075
zYcY4mjLpxU_104_118.mp4,real,MSVD,0.09437544148810925
Wnz3IevSNg0_1_8.mp4,real,MSVD,0.0279756298563692
tmAX2PnRCY0_284_292.mp4,real,MSVD,0.28325877089710383
JhCvLmf9yr0_46_50.mp4,real,MSVD,0.25007358135154223
6sYmDT5et00_301_339.mp4,real,MSVD,0.4059777489992936
9wxB1UQi0MM_18_38.mp4,real,MSVD,0.08011537555921827
QzcTlEpAigQ_0_14.mp4,real,MSVD,0.06116081940193077
MF88IYF2MHY_25_59.mp4,real,MSVD,0.4617082646574052
f-24IxG9ijw_25_40.mp4,real,MSVD,0.2571668236402166
qeKX-N1nKiM_52_59.mp4,real,MSVD,0.33049799858723805
wkgGxsuNVSg_34_41.mp4,real,MSVD,0.35934188839180603
a1i6T160REQ_5_18.mp4,real,MSVD,0.045223098657876146
AGRFy5hDQiY_31_38.mp4,real,MSVD,0.602940310807629
itxzpFW1z7E_22_36.mp4,real,MSVD,0.016629385448551918
3n_Kqak2JdA_48_71.mp4,real,MSVD,0.3284524370143631
hW8TKz2Aea4_40_50.mp4,real,MSVD,0.10229279491405699
3I9tSDU-OSk_17_22.mp4,real,MSVD,0.9341299740993643
7d1d2WlEnKs_0_12.mp4,real,MSVD,0.014613256416293855
lB1UPJ4leqs_1_6.mp4,real,MSVD,0.33102778431834234
8MVo7fje_oE_153_158.mp4,real,MSVD,0.6370673416529316
e40bBP0_AbE_64_67.mp4,real,MSVD,0.5600276665881799
Vg1jyL3cr60_163_186.mp4,real,MSVD,0.37146809512597123
eiyuac7hA4A_4_47.mp4,real,MSVD,0.3573257593595479
pGsU4FekJQM_10_18.mp4,real,MSVD,0.027210383800329644
E2r6nnkwl0c_6_18.mp4,real,MSVD,0.1593330586296209
W8l_ezoU8Lc_156_162.mp4,real,MSVD,0.24227395808806215
L6dEUQ6WiHY_136_142.mp4,real,MSVD,0.10841476336237343
0IDJG0q9j_k_1_24.mp4,real,MSVD,0.4673887449964681
bQJQGoJF7_k_109_115.mp4,real,MSVD,0.36393336472804333
nLvX-erABqY_67_72.mp4,real,MSVD,0.04488462444078173
6t0BpjwYKco_118_127.mp4,real,MSVD,0.45312867906757714
oRBgVOiZVsc_16_22.mp4,real,MSVD,0.5318754414881093
LEz0puaKNTk_38_48.mp4,real,MSVD,0.6977719566753002
p3J3TAdKAYQ_0_10.mp4,real,MSVD,0.022560042382858487
ZbzDGXEwtGc_6_15.mp4,real,MSVD,0.009079938780315516
3eqFFRSXwGE_84_96.mp4,real,MSVD,0.4857987991523428
zH4v_DClIoc_3_28.mp4,real,MSVD,0.7877619496114905
z_qf7tOnHVg_81_89.mp4,real,MSVD,0.07633329408994585
kSzS_lFtJDk_55_70.mp4,real,MSVD,0.0274752766658818
bSIjZ75a50s_286_304.mp4,real,MSVD,0.089754532611255
2YhDTpzxd3c_22_27.mp4,real,MSVD,0.11508123381210267
SzEbtbNSg04_214_224.mp4,real,MSVD,0.09778961619967036
jxdubZzQrio_33_46.mp4,real,MSVD,0.49599717447610076
HZqscSWtHmo_24_34.mp4,real,MSVD,0.03317047327525312
-vg3vR86fu0_1_6.mp4,real,MSVD,0.43626383329408996
MwOEK-KXSPc_1_10.mp4,real,MSVD,0.09031375088297622
J8cP93yG1Ao_14_24.mp4,real,MSVD,0.16376265599246526
cCmnN96zIeQ_14_24.mp4,real,MSVD,0.7925594537320462
wON-YuA1GjA_3_63.mp4,real,MSVD,0.7126501059571462
V6Fxclwdfxc_56_66.mp4,real,MSVD,0.1318577819637391
kuNQpRTc-hA_126_135.mp4,real,MSVD,0.6091358606074877
lo4KcsBN--A_0_10.mp4,real,MSVD,0.031095479161761246
UXs3eq68ZjE_382_387.mp4,real,MSVD,0.1901930774664469
BVy9SQI5R68_0_7.mp4,real,MSVD,0.09171179656227926
lm0z7eLsbbw_9_23.mp4,real,MSVD,0.01289145279020485
MTkGPfMRXtc_5_21.mp4,real,MSVD,0.4960854720979515
uy0HNWto0UY_18_25.mp4,real,MSVD,0.21050153049211207
HM-ZDoRWiH4_0_5.mp4,real,MSVD,0.22489404285377912
UbmZAe5u5FI_44_55.mp4,real,MSVD,0.4037555921827172
tn-Hoz4KbkE_89_93.mp4,real,MSVD,0.015834706851895457
RZL9irxnhZ0_34_40.mp4,real,MSVD,0.15740522721921357
FAD8CbQuvco_35_45.mp4,real,MSVD,0.3266276194961149
zhLcONtNkew_16_21.mp4,real,MSVD,0.042765481516364494
_pj2Nutu5v8_1_8.mp4,real,MSVD,0.1728425947727808
nq4hG6qgyPs_184_195.mp4,real,MSVD,0.22764598540145983
uqVCk2oDpSE_194_200.mp4,real,MSVD,0.745805862962091
3zrVqwV29V8_69_76.mp4,real,MSVD,0.5585266070167177
PCXHuseKwDc_68_76.mp4,real,MSVD,0.8196668236402167
Qp-k0H93iJE_35_39.mp4,real,MSVD,0.3528372969154697
0hyZ__3YhZc_302_307.mp4,real,MSVD,0.16207028490699316
88p7U5CnoYU_1_10.mp4,real,MSVD,0.013568401224393688
fHfpMUDrQCs_17_31.mp4,real,MSVD,0.32737814928184605
D1tTBncIsm8_198_205.mp4,real,MSVD,0.017836119613845066
DIToA1dDwGQ_32_42.mp4,real,MSVD,0.3271574052272192
UgUFP5baQ9Y_0_10.mp4,real,MSVD,0.2098687308688486
1qxMJLkHDLw_0_9.mp4,real,MSVD,0.1400694607958559
IAvBB2lv8iw_142_148.mp4,real,MSVD,0.3643601365669885
DN7jwyL1Xgg_1_19.mp4,real,MSVD,0.04313338827407582
NaX51emUDn4_0_20.mp4,real,MSVD,0.2917353425947728
WTf5EgVY5uU_130_135.mp4,real,MSVD,0.11646456322109724
11xs9mFKObs_0_8.mp4,real,MSVD,0.006063103367082647
kWLNZzuo3do_222_227.mp4,real,MSVD,0.576112550035319
X56XkGFe7OY_47_61.mp4,real,MSVD,0.02489992936190252
gHyXstpe_N8_95_100.mp4,real,MSVD,0.008859194725688722
dfOuTx66bJU_34_39.mp4,real,MSVD,0.458941605839416
kWLNZzuo3do_228_232.mp4,real,MSVD,0.27807864374852836
q7pOFn8s4zc_27_36.mp4,real,MSVD,0.17147398163409466
s6QwbmWbSmw_18_24.mp4,real,MSVD,0.024796915469743348
dQmaVQZz7EE_1_18.mp4,real,MSVD,0.6007770190722863
yREFkmrrYiw_51_57.mp4,real,MSVD,0.7678066870732281
E4k0Aylzdyo_97_104.mp4,real,MSVD,0.28767365198963973
mFCf8lLXrUc_36_57.mp4,real,MSVD,0.23488639039321874
j2Dhf-xFUxU_20_29.mp4,real,MSVD,0.43259948198728515
6Lzq1HN33lE_5_15.mp4,real,MSVD,0.23204615022368733
b4FM9OLBGyM_37_49.mp4,real,MSVD,0.5658553096303273
32_A0-er4Ws_16_20.mp4,real,MSVD,0.06355957146220861
bDoCQEwghZU_201_211.mp4,real,MSVD,0.22874970567459382
xxHx6s_DbUo_41_44.mp4,real,MSVD,0.5555833529550271
ifS2nXfCyYo_4_34.mp4,real,MSVD,0.018983988697904405
6owu8Mow0_g_302_307.mp4,real,MSVD,0.2575935954791618
qeKX-N1nKiM_106_115.mp4,real,MSVD,0.3266570520367318
q-JHcsqJXWY_0_8.mp4,real,MSVD,0.007166823640216624
WTf5EgVY5uU_66_75.mp4,real,MSVD,0.32867318106898985
Je3V7U5Ctj4_956_961.mp4,real,MSVD,0.24942606545797033
8VUbN3hkdBo_36_50.mp4,real,MSVD,0.4408553096303273
0RWJEOScToE_414_421.mp4,real,MSVD,0.12419060513303508
kWLNZzuo3do_147_153.mp4,real,MSVD,0.32219802213327053
4ge5_V-xhP0_138_142.mp4,real,MSVD,0.2623469507887921
AdcgmBtE99c_108_114.mp4,real,MSVD,0.22826406875441488
73vUksucPz8_12_20.mp4,real,MSVD,0.27357546503414176
